gate,nominal_fallback_budget,metric,estimate,bootstrap_ci_lower,bootstrap_ci_upper,n_documents,bootstrap_replicates
raw_q,0.1,actual_fallback_fraction,0.12031733837325226,0.11671190528560585,0.1245900820632316,959,2000
raw_q,0.1,danger_fraction,0.2170840439165531,0.21411020325333885,0.2206541637942245,959,2000
raw_q,0.1,tp_fraction,0.04931362028505148,0.0459742889862831,0.05335228998292444,959,2000
raw_q,0.1,fp_fraction,0.07100371808820076,0.06988655132887481,0.07223603506399592,959,2000
raw_q,0.1,fn_fraction,0.1677704236315016,0.1665906931712237,0.16888325884781816,959,2000
raw_q,0.1,tn_fraction,0.7119122379952462,0.70789748945771,0.7153505216440319,959,2000
raw_q,0.1,precision,0.39086951196133446,0.3864118658825043,0.3950263338746158,959,2000
raw_q,0.1,recall,0.21424648474065025,0.21005839873745677,0.2187620011581327,959,2000
raw_q,0.1,f1,0.2751016830444033,0.2709356070553759,0.2793584904638744,959,2000
raw_q,0.1,max_possible_recall,0.544477761789949,0.5389505882046881,0.5505439768484408,959,2000
raw_q,0.1,budget_forced_miss,0.455522238210051,0.449456023151559,0.4610494117953117,959,2000
raw_q,0.1,ranking_miss,0.3302312770492988,0.3264884455598712,0.3343763462432913,959,2000
q_minus_kbar,0.1,actual_fallback_fraction,0.12031733837325226,0.11671190528560585,0.1245900820632316,959,2000
q_minus_kbar,0.1,danger_fraction,0.2170840439165531,0.21411020325333885,0.2206541637942245,959,2000
q_minus_kbar,0.1,tp_fraction,0.0594410083590196,0.056209322316715535,0.06349434533854464,959,2000
q_minus_kbar,0.1,fp_fraction,0.060876330014232635,0.05968627576687654,0.062199241071521194,959,2000
q_minus_kbar,0.1,fn_fraction,0.1576430355575335,0.1564778360899334,0.15879014395838717,959,2000
q_minus_kbar,0.1,tn_fraction,0.7220396260692143,0.7178486486069147,0.7255245498898995,959,2000
q_minus_kbar,0.1,precision,0.48235516692341146,0.4780726362994807,0.4863499464839373,959,2000
q_minus_kbar,0.1,recall,0.26243536801874323,0.2584676890590291,0.266599975060247,959,2000
q_minus_kbar,0.1,f1,0.3381294561671362,0.33435815060837365,0.3418649994699271,959,2000
q_minus_kbar,0.1,max_possible_recall,0.544477761789949,0.5389505882046881,0.5505439768484408,959,2000
q_minus_kbar,0.1,budget_forced_miss,0.455522238210051,0.449456023151559,0.4610494117953117,959,2000
q_minus_kbar,0.1,ranking_miss,0.2820423937712058,0.2781250533393887,0.28642239293270927,959,2000
raw_q,0.2,actual_fallback_fraction,0.2170840439165531,0.21411020325333885,0.2206541637942245,959,2000
raw_q,0.2,danger_fraction,0.2170840439165531,0.21411020325333885,0.2206541637942245,959,2000
raw_q,0.2,tp_fraction,0.07963323801574561,0.07636802860705973,0.08346078312867534,959,2000
raw_q,0.2,fp_fraction,0.13745080590080747,0.13648367176060716,0.1384091699086856,959,2000
raw_q,0.2,fn_fraction,0.13745080590080747,0.13648367176060716,0.1384091699086856,959,2000
raw_q,0.2,tn_fraction,0.6454651501826395,0.641884785459032,0.6485035049687377,959,2000
raw_q,0.2,precision,0.35621272825455624,0.3522759155268527,0.3599618462816666,959,2000
raw_q,0.2,recall,0.35621272825455624,0.3522759155268527,0.3599618462816666,959,2000
raw_q,0.2,f1,0.35621272825455624,0.3522759155268527,0.3599618462816666,959,2000
raw_q,0.2,max_possible_recall,1.0,1.0,1.0,959,2000
raw_q,0.2,budget_forced_miss,0.0,0.0,0.0,959,2000
raw_q,0.2,ranking_miss,0.6437872717454438,0.6400381537183336,0.647724084473147,959,2000
q_minus_kbar,0.2,actual_fallback_fraction,0.2170840439165531,0.21411020325333885,0.2206541637942245,959,2000
q_minus_kbar,0.2,danger_fraction,0.2170840439165531,0.21411020325333885,0.2206541637942245,959,2000
q_minus_kbar,0.2,tp_fraction,0.09467090781383913,0.09152910965609062,0.09841082012502622,959,2000
q_minus_kbar,0.2,fp_fraction,0.12241313610271397,0.12139295337548388,0.12347512636556943,959,2000
q_minus_kbar,0.2,fn_fraction,0.12241313610271397,0.12139295337548388,0.12347512636556943,959,2000
q_minus_kbar,0.2,tn_fraction,0.660502819980733,0.656711160717085,0.6637029347188581,959,2000
q_minus_kbar,0.2,precision,0.42802811325612683,0.42444661403477474,0.43133686307088903,959,2000
q_minus_kbar,0.2,recall,0.42802811325612683,0.42444661403477474,0.43133686307088903,959,2000
q_minus_kbar,0.2,f1,0.42802811325612683,0.42444661403477474,0.43133686307088903,959,2000
q_minus_kbar,0.2,max_possible_recall,1.0,1.0,1.0,959,2000
q_minus_kbar,0.2,budget_forced_miss,0.0,0.0,0.0,959,2000
q_minus_kbar,0.2,ranking_miss,0.5719718867438731,0.5686631369291109,0.5755533859652255,959,2000
