gate,nominal_fallback_budget,total_layer_head_qblock_rows,tp_count,fp_count,fn_count,tn_count,tp_fraction,fp_fraction,fn_fraction,tn_fraction,actual_fallback_fraction,danger_fraction,precision,recall,f1
raw_q,0.1,64954368,2729946,4273062,10704678,47246682,0.04202867465356602,0.06578559889921491,0.16480305065857925,0.7273826757886398,0.10781427355278093,0.20683172531214528,0.3898247724406427,0.20320226304807637,0.26714895345997036
q_minus_kbar,0.1,64954368,3487876,3515132,9946748,48004612,0.053697327945674105,0.05411694560710682,0.1531343973664712,0.7390513290807479,0.10781427355278093,0.20683172531214528,0.4980539790901281,0.2596184307056156,0.3413189942944466
raw_q,0.2,64954368,4713344,8721280,8721280,42798464,0.07256392672468155,0.13426779858746374,0.13426779858746374,0.6589004761003909,0.20683172531214528,0.20683172531214528,0.3508355723241678,0.3508355723241678,0.3508355723241678
q_minus_kbar,0.2,64954368,5875887,7558737,7558737,43961007,0.09046176848337589,0.1163699568287694,0.1163699568287694,0.6767983178590853,0.20683172531214528,0.20683172531214528,0.43736892078259876,0.43736892078259876,0.43736892078259876
